기준년도,시군명,읍면동명,등록동물수(마리),시군구등록수,대행업체등록수,기타등록수,RFID내장치형수,RFID외부장치형수,RFID인지형수,동물품종수,동물소유자수,소유자등록동물수값,등록대행업체수,데이터기준일자
2021,양주시,고읍동,137,0,137,0,72,64,1,32,109,1.26,0,2023-09-08
2021,양주시,광사동,184,0,184,0,94,85,5,29,151,1.22,2,2023-09-08
2021,양주시,광적면,217,4,213,0,144,72,1,32,128,1.7,1,2023-09-08
2021,양주시,남면,99,1,98,0,57,42,0,26,80,1.24,1,2023-09-08
2021,양주시,남방동,21,1,20,0,5,14,2,9,14,1.5,0,2023-09-08
2021,양주시,덕계동,281,2,279,0,126,154,1,31,223,1.26,0,2023-09-08
2021,양주시,덕정동,183,0,183,0,103,78,2,32,152,1.2,1,2023-09-08
2021,양주시,마전동,8,0,8,0,2,6,0,5,4,2,0,2023-09-08
2021,양주시,만송동,146,2,144,0,90,55,1,26,122,1.2,1,2023-09-08
2021,양주시,백석읍,444,2,442,0,255,186,3,41,319,1.39,1,2023-09-08
2021,양주시,봉양동,13,0,13,0,6,7,0,9,12,1.08,0,2023-09-08
2021,양주시,산북동,37,0,37,0,20,17,0,16,33,1.12,0,2023-09-08
2021,양주시,삼숭동,316,2,314,0,163,149,4,42,259,1.22,0,2023-09-08
2021,양주시,어둔동,7,0,7,0,2,5,0,4,5,1.4,0,2023-09-08
2021,양주시,옥정동,883,2,881,0,380,496,7,53,761,1.16,1,2023-09-08
2021,양주시,유양동,15,0,15,0,9,6,0,6,9,1.67,1,2023-09-08
2021,양주시,율정동,8,1,7,0,6,2,0,5,6,1.33,0,2023-09-08
2021,양주시,은현면,84,1,83,0,46,35,3,16,57,1.47,0,2023-09-08
2021,양주시,장흥면,180,2,178,0,91,88,1,31,133,1.35,0,2023-09-08
2021,양주시,회암동,28,7,21,0,24,4,0,12,13,2.15,0,2023-09-08
2021,양주시,회정동,67,0,67,0,36,31,0,15,54,1.24,1,2023-09-08
2021,양평군,강상면,126,6,175,0,106,63,12,32,126,1.44,0,2023-09-11
2021,양평군,강하면,90,5,131,0,98,37,1,30,90,1.51,0,2023-09-11
2021,양평군,개군면,95,2,119,0,75,46,0,25,95,1.27,0,2023-09-11
2021,양평군,단월면,62,5,86,0,57,34,0,21,62,1.47,0,2023-09-11
2021,양평군,서종면,187,22,246,0,147,111,10,38,187,1.43,0,2023-09-11
2021,양평군,양동면,76,4,113,0,61,56,0,26,76,1.54,0,2023-09-11
2021,양평군,양서면,210,19,278,0,161,126,10,43,210,1.41,1,2023-09-11
2021,양평군,양평읍,344,55,400,0,267,183,5,49,344,1.32,5,2023-09-11
2021,양평군,옥천면,148,11,189,0,126,73,1,40,148,1.35,0,2023-09-11
